track_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
5Inoy4IACJrdH93CBfGBsi,0.302,0.69,241760,0.513,0.536,5,0.281,-12.529,1,0.0975,142.221,4,0.635
6EuhWZ5D9InbLzy2biiVdV,0.283,0.069,444000,0.196,0.934,1,0.36,-24.801,0,0.0805,75.596,4,0.0336
5s0LrWpG1B2pIWs5dVR8dq,7.6e-05,0.368,333191,0.863,0.754,2,0.337,-7.428,1,0.0397,116.634,4,0.498
08AvCySACZBCsfOF6xNy0L,0.000576,0.643,307652,0.687,0.0969,7,0.299,-11.34,1,0.0539,143.956,4,0.637
3Y1TE5Robqc8DX353CYkHn,0.00152,0.642,224267,0.972,2.39e-05,5,0.384,-3.047,0,0.0967,118.035,4,0.421
3LaQXcw7Z8fB937bfDNIWL,0.306,0.777,225160,0.949,1.63e-05,2,0.299,-2.488,1,0.0585,109.992,4,0.85
3f2k0XTc2ZXG17jEMDu8pp,0.0211,0.741,220626,0.816,0.0,4,0.0981,-5.597,1,0.0797,146.075,4,0.574
4VKgqolJpYl6HhcLGhGogR,0.704,0.153,116815,0.119,0.913,6,0.543,-25.16,0,0.0501,84.886,4,0.0342
3rCMkB2nbMzHXaXMX7KHAQ,0.000116,0.311,405800,0.729,0.222,4,0.225,-7.047,1,0.0346,141.326,4,0.119
0RGoOj4wRgrldTUEzygt5k,0.0166,0.924,191297,0.893,0.859,7,0.0907,-2.567,1,0.191,129.999,4,0.613
3yvzcVFbz2ziA2NAq9hn7f,0.0878,0.885,99527,0.75,0.963,6,0.0453,-8.859,0,0.173,140.079,4,0.406
3BdMyHoBSt1jzGGK6Rofph,0.116,0.792,218329,0.854,4.02e-06,7,0.108,-6.17,1,0.105,110.01,4,0.829
6oilrypHWm0iylwgX6ujQc,0.877,0.519,256627,0.232,0.0,4,0.104,-9.029,1,0.0269,80.449,4,0.364
4CN7DZMyMjlqgBKoNtRi6m,0.000821,0.529,220667,0.99,0.0743,9,0.306,-4.075,0,0.0422,135.989,4,0.589
4VdLOyYe6ZEyLx0LbYdyvy,0.991,0.17,194649,0.00316,0.931,5,0.111,-38.615,0,0.0422,70.964,3,0.0946
4j0j42ap28XZZQr9SQz9nU,0.0298,0.717,194617,0.795,2.33e-06,8,0.133,-4.198,1,0.291,133.673,5,0.792
2XDvgRsUW5X5Kqrk4tWIDv,0.486,0.883,124333,0.395,1.76e-05,0,0.0979,-11.0,1,0.0404,135.045,3,0.884
4FTWqP9PgQ24kmVctCWREf,0.0264,0.747,134000,0.571,0.888,10,0.102,-6.985,0,0.119,89.96,4,0.71
1U8rhryVYw9gWZ6zvw4Orc,0.0221,0.679,187266,0.663,0.00609,9,0.351,-6.279,0,0.051,123.985,4,0.511
3Rkbvevg1OjerALUV8WM1j,0.793,0.454,344147,0.337,0.00148,5,0.922,-15.906,1,0.0371,123.612,4,0.249
5QwlVc1dX1CA2RZEx7qkTQ,0.000758,0.468,263907,0.938,0.0013,1,0.267,-4.228,1,0.038,187.966,4,0.763
66LglpoM9ulSCNG0fNWjVw,0.000365,0.373,252556,0.927,0.000162,7,0.0878,-4.14,0,0.09,180.012,4,0.479
1vmWPvHsjOWsaL2jUA6RCO,0.857,0.757,227320,0.153,0.952,8,0.106,-23.574,1,0.047,102.987,4,0.476
2usXn7ZNfRyu9W3p8eKrwq,0.000247,0.497,417026,0.974,0.349,0,0.252,-5.032,1,0.0821,154.991,4,0.232
3mYrqPHnWp7IK3ojEAFyKF,0.275,0.397,136267,0.933,0.969,3,0.0951,-9.578,0,0.0503,135.491,4,0.977
3jdy4aOla1dwYIqwp69JJN,0.00432,0.478,250942,0.738,0.0,6,0.154,-4.464,0,0.0414,163.994,4,0.353
2mNefE3in2Zen1s30gcL3R,0.863,0.405,140488,0.389,0.72,2,0.134,-14.809,1,0.0419,89.271,4,0.748
